"確定病名","發病年份","發病月份","縣市","鄉鎮","性別","是否為境外移入","年齡層","確定病例數"
"89","登革熱","2010","5","苗栗縣","頭份市","M","是","50-54","1"
"90","登革熱","2010","5","高雄市","大寮區","M","是","40-44","1"
"91","登革熱","2010","7","台北市","文山區","M","是","40-44","1"
"92","登革熱","2010","7","新北市","中和區","M","是","5-9","1"
"93","登革熱","2010","7","嘉義市","西區","M","是","5-9","1"
"94","登革熱","2010","8","台北市","松山區","F","是","20-24","1"
"95","登革熱","2010","8","台南市","關廟區","M","否","45-49","1"
"96","登革熱","2010","8","高雄市","鼓山區","M","否","65-69","3"
"97","登革熱","2010","9","台南市","中西區","F","否","40-44","1"
"98","登革熱","2010","9","高雄市","鼓山區","M","否","20-24","3"
"99","登革熱","2010","9","高雄市","鼓山區","M","否","70+","2"
"100","登革熱","2003","10","台北市","萬華區","M","是","50-54","1"
"101","登革熱","2003","8","新北市","板橋區","M","是","20-24","1"
"102","登革熱","2003","9","高雄市","楠梓區","M","否","45-49","1"
"103","登革熱","2004","10","屏東縣","屏東市","M","否","35-39","6"
"104","登革熱","2004","10","高雄市","岡山區","M","否","15-19","1"
"105","登革熱","2004","11","屏東縣","東港鎮","M","否","15-19","1"
"106","登革熱","2004","12","屏東縣","屏東市","F","否","50-54","2"
"107","登革熱","2004","12","高雄市","大寮區","F","否","45-49","1"
"108","登革熱","2004","7","屏東縣","里港鄉","F","否","30-34","1"
"109","登革熱","2005","11","台南市","北區","M","否","65-69","1"
"110","登革熱","2005","11","高雄市","大寮區","F","否","30-34","1"
"111","登革熱","2005","11","高雄市","鳳山區","M","否","55-59","1"
"112","登革熱","2005","5","新北市","鶯歌區","M","是","20-24","1"
"113","登革熱","2005","6","桃園市","平鎮區","F","是","25-29","1"
"114","登革熱","2005","6","新北市","三重區","M","是","55-59","1"
"115","登革熱","2005","8","高雄市","旗津區","M","否","40-44","2"
"116","登革熱","2006","10","高雄市","三民區","M","否","70+","3"
"117","登革熱","2006","10","高雄市","前鎮區","M","否","35-39","4"
"118","登革熱","2006","10","高雄市","前鎮區","M","否","65-69","1"
"119","登革熱","2006","10","基隆市","信義區","F","否","35-39","1"
"120","登革熱","2006","11","台南市","東區","M","是","55-59","1"
"121","登革熱","2006","11","高雄市","三民區","M","否","65-69","2"
"122","登革熱","2006","11","高雄市","苓雅區","F","否","65-69","2"
"123","登革熱","2006","11","高雄市","鳳山區","F","否","50-54","1"
"124","登革熱","2006","12","高雄市","苓雅區","F","否","70+","2"
"125","登革熱","2006","12","高雄市","苓雅區","M","否","15-19","1"
"126","登革熱","2006","12","高雄市","苓雅區","M","否","55-59","3"
"127","登革熱","2006","8","台中市","龍井區","F","是","45-49","1"
"128","登革熱","2006","8","高雄市","三民區","M","否","35-39","1"
"129","登革熱","2006","8","高雄市","苓雅區","M","否","10-14","1"
"130","登革熱","2006","9","高雄市","鳳山區","M","否","65-69","4"
"131","登革熱","2007","1","高雄市","新興區","F","否","35-39","1"
"132","登革熱","2007","10","台南市","北區","F","否","65-69","6"
"133","登革熱","2007","10","台南市","北區","M","否","20-24","5"
"134","登革熱","2007","10","台南市","永康區","F","否","5-9","1"
"135","登革熱","2007","10","台南市","安南區","M","否","50-54","1"
"136","登革熱","2007","10","台南市","歸仁區","F","是","55-59","1"
"137","登革熱","2007","10","高雄市","三民區","M","否","30-34","1"
"138","登革熱","2007","11","台南市","北區","F","是","35-39","1"
"139","登革熱","2007","11","台南市","東區","F","否","10-14","1"
"140","登革熱","2007","11","高雄市","鳳山區","M","否","45-49","1"
"141","登革熱","2007","12","台南市","東區","M","否","40-44","1"
"142","登革熱","2007","2","台南市","安平區","M","是","45-49","1"
"143","登革熱","2007","6","南投縣","竹山鎮","F","是","5-9","1"
"144","登革熱","2007","7","台南市","北區","F","否","55-59","1"
"145","登革熱","2007","8","台南市","南區","F","否","45-49","1"
"146","登革熱","2007","8","新北市","金山區","M","是","55-59","1"
"147","登革熱","2007","9","台南市","北區","M","否","70+","3"
"148","登革熱","2007","9","台南市","西港區","M","否","50-54","1"
"149","登革熱","2007","9","台南市","東區","M","否","50-54","4"
"150","登革熱","2007","9","台南市","南區","F","否","60-64","1"
"151","登革熱","2007","9","台南市","南區","M","否","30-34","1"
"152","登革熱","2008","10","桃園市","桃園區","F","是","5-9","1"
"153","登革熱","2008","10","高雄市","前鎮區","F","否","40-44","1"
"154","登革熱","2008","10","高雄市","苓雅區","F","否","30-34","1"
"155","登革熱","2008","10","高雄市","楠梓區","F","否","40-44","1"
"156","登革熱","2008","10","高雄市","鳳山區","F","否","55-59","4"
"157","登革熱","2008","11","苗栗縣","竹南鎮","M","是","50-54","1"
"158","登革熱","2008","11","高雄市","三民區","F","否","55-59","1"
"159","登革熱","2008","11","高雄市","苓雅區","F","否","25-29","2"
"160","登革熱","2008","12","高雄市","三民區","F","否","35-39","1"
"161","登革熱","2008","2","彰化縣","鹿港鎮","M","是","20-24","1"
"162","登革熱","2008","7","高雄市","楠梓區","M","否","25-29","1"
"163","登革熱","2008","7","高雄市","楠梓區","M","否","30-34","1"
"164","登革熱","2008","7","高雄市","楠梓區","M","否","50-54","1"
"165","登革熱","2008","8","台北市","士林區","F","否","50-54","1"
"166","登革熱","2009","10","高雄市","鳳山區","M","否","70+","1"
"167","登革熱","2009","10","嘉義縣","大林鎮","M","否","55-59","1"
"168","登革熱","2009","11","屏東縣","屏東市","M","否","50-54","3"
"169","登革熱","2009","11","高雄市","小港區","M","否","15-19","2"
"170","登革熱","2009","11","高雄市","鼓山區","F","否","70+","1"
"171","登革熱","2009","12","高雄市","苓雅區","M","否","65-69","3"
"172","登革熱","2009","4","苗栗縣","造橋鄉","M","是","30-34","1"
"173","登革熱","2009","7","新北市","泰山區","M","是","50-54","1"
"174","登革熱","2009","8","高雄市","小港區","M","否","70+","2"
"175","登革熱","2010","1","台北市","大安區","F","是","15-19","1"
"176","登革熱","2010","10","台南市","中西區","M","否","60-64","4"
"177","登革熱","2010","10","台南市","東區","M","否","40-44","1"
"178","登革熱","2010","11","台南市","北區","F","否","40-44","2"
"179","登革熱","2010","11","台南市","永康區","F","否","30-34","1"
"180","登革熱","2010","11","台南市","永康區","M","否","20-24","1"
"181","登革熱","2010","11","高雄市","大寮區","F","否","35-39","1"
"182","登革熱","2010","11","高雄市","前金區","M","否","30-34","1"
"183","登革熱","2010","11","高雄市","鼓山區","M","否","20-24","1"
"184","登革熱","2010","12","台南市","東區","M","否","30-34","1"
"185","登革熱","2010","12","高雄市","左營區","F","否","60-64","1"
"186","登革熱","2010","12","高雄市","左營區","M","否","30-34","1"
"187","登革熱","2010","12","高雄市","前鎮區","F","否","45-49","1"
"188","登革熱","2010","12","高雄市","鼓山區","F","否","50-54","1"
"189","登革熱","2010","12","新北市","板橋區","M","是","45-49","1"
"190","登革熱","2010","12","嘉義縣","新港鄉","F","是","55-59","1"
"191","登革熱","2010","5","新竹縣","竹北市","M","是","30-34","1"
"192","登革熱","2010","6","高雄市","鼓山區","M","否","55-59","2"
"193","登革熱","2010","8","新北市","五股區","F","是","35-39","1"
"194","登革熱","2010","8","新竹縣","竹北市","F","是","5-9","1"
"195","登革熱","2010","9","台南市","安平區","F","否","60-64","1"
"196","登革熱","2010","9","台南市","歸仁區","F","否","40-44","1"
"197","登革熱","2010","9","高雄市","三民區","F","否","5-9","3"
"198","登革熱","2011","10","台北市","中正區","M","是","20-24","1"
"199","登革熱","2003","1","高雄市","三民區","M","否","1","1"
"200","登革熱","2003","1","高雄市","大寮區","F","否","30-34","1"
"201","登革熱","2003","10","台中市","西屯區","M","是","50-54","1"
"202","登革熱","2004","11","屏東縣","屏東市","M","否","35-39","3"
"203","登革熱","2004","11","高雄市","前鎮區","F","否","45-49","1"
"204","登革熱","2004","11","高雄市","楠梓區","M","否","35-39","1"
"205","登革熱","2004","11","高雄市","旗津區","M","否","15-19","1"
"206","登革熱","2004","9","屏東縣","屏東市","F","否","60-64","1"
"207","登革熱","2005","1","高雄市","大寮區","F","否","25-29","1"
"208","登革熱","2005","10","高雄市","左營區","M","是","30-34","1"
"209","登革熱","2005","10","高雄市","鳳山區","M","否","10-14","1"
"210","登革熱","2005","11","苗栗縣","後龍鎮","M","是","60-64","1"
"211","登革熱","2005","12","新北市","土城區","M","是","25-29","1"
"212","登革熱","2005","7","台北市","大同區","F","是","15-19","1"
"213","登革熱","2005","7","新北市","三芝區","M","是","30-34","1"
"214","登革熱","2005","8","台東縣","台東市","F","是","3","1"
"215","登革熱","2005","8","新北市","汐止區","M","是","35-39","1"
"216","登革熱","2006","10","高雄市","三民區","F","否","45-49","4"
"217","登革熱","2006","10","高雄市","三民區","M","否","35-39","4"
"218","登革熱","2006","10","高雄市","新興區","F","否","50-54","1"
"219","登革熱","2006","10","高雄市","鼓山區","F","否","60-64","1"
"220","登革熱","2006","11","高雄市","前鎮區","M","否","65-69","2"
"221","登革熱","2006","4","台南市","新營區","F","是","40-44","1"
"222","登革熱","2006","6","台中市","豐原區","M","是","40-44","1"
"223","登革熱","2006","8","高雄市","三民區","M","否","15-19","1"
"224","登革熱","2006","8","高雄市","前鎮區","M","否","35-39","3"
"225","登革熱","2006","8","高雄市","前鎮區","M","否","4","2"
"226","登革熱","2006","8","高雄市","鳳山區","M","否","20-24","1"
"227","登革熱","2006","9","高雄市","前鎮區","M","否","30-34","1"
"228","登革熱","2006","9","高雄市","苓雅區","F","否","25-29","1"
"229","登革熱","2006","9","高雄市","楠梓區","F","否","35-39","1"
"230","登革熱","2006","9","高雄市","楠梓區","F","否","65-69","1"
"231","登革熱","2006","9","高雄市","楠梓區","M","否","20-24","1"
"232","登革熱","2007","1","高雄市","美濃區","F","是","40-44","1"
"233","登革熱","2007","10","台南市","中西區","F","否","35-39","4"
"234","登革熱","2007","10","台南市","中西區","F","否","65-69","2"
"235","登革熱","2007","10","台南市","北區","F","否","5-9","3"
"236","登革熱","2007","10","台南市","新市區","F","否","25-29","1"
"237","登革熱","2007","10","台南市","關廟區","F","否","10-14","1"
"238","登革熱","2007","10","高雄市","苓雅區","M","否","65-69","1"
"239","登革熱","2007","10","高雄市","鼓山區","M","否","20-24","1"
"240","登革熱","2007","11","台南市","中西區","M","否","20-24","2"
"241","登革熱","2007","11","台南市","仁德區","F","否","20-24","1"
"242","登革熱","2007","11","台南市","東區","M","否","5-9","3"
"243","登革熱","2007","11","台南市","關廟區","M","否","5-9","1"
"244","登革熱","2007","12","台南市","永康區","M","否","35-39","1"
"245","登革熱","2007","12","高雄市","楠梓區","F","否","30-34","1"
"246","登革熱","2007","5","台中市","東區","F","是","25-29","1"
"247","登革熱","2007","6","雲林縣","元長鄉","M","是","45-49","1"
"248","登革熱","2007","7","台北市","信義區","M","是","45-49","1"
"249","登革熱","2007","7","台南市","北區","F","否","1","1"
"250","登革熱","2007","7","台南市","永康區","M","否","30-34","1"
"251","登革熱","2007","7","台南市","安南區","M","否","35-39","2"
"252","登革熱","2007","7","台南市","東區","M","否","15-19","2"
"253","登革熱","2007","7","苗栗縣","竹南鎮","F","是","25-29","1"
"254","登革熱","2007","7","高雄市","三民區","M","否","65-69","1"
"255","登革熱","2007","8","台南市","安平區","F","否","30-34","1"
"256","登革熱","2007","8","台南市","東區","F","否","25-29","1"
"257","登革熱","2007","8","台南市","東區","M","否","5-9","2"
"258","登革熱","2007","9","台南市","南區","F","否","55-59","2"
"259","登革熱","2008","10","台北市","松山區","F","是","25-29","1"
"260","登革熱","2008","10","高雄市","前鎮區","M","否","55-59","2"
"261","登革熱","2008","11","高雄市","三民區","M","否","25-29","2"
"262","登革熱","2008","4","基隆市","中正區","M","是","5-9","1"
"263","登革熱","2008","6","台北市","內湖區","F","是","30-34","1"
"264","登革熱","2008","8","高雄市","小港區","M","是","40-44","1"
"265","登革熱","2008","8","高雄市","楠梓區","F","否","40-44","3"
"266","登革熱","2009","10","高雄市","左營區","M","否","35-39","1"
"267","登革熱","2009","11","屏東縣","屏東市","F","否","70+","4"
"268","登革熱","2009","11","高雄市","三民區","M","否","45-49","3"
"269","登革熱","2009","11","高雄市","前鎮區","M","否","30-34","5"
"270","登革熱","2009","11","高雄市","鼓山區","M","否","25-29","1"
"271","登革熱","2009","11","高雄市","鳳山區","M","否","70+","3"
"272","登革熱","2009","12","高雄市","小港區","F","否","25-29","1"
"273","登革熱","2009","12","高雄市","苓雅區","F","否","30-34","2"
"274","登革熱","2009","12","高雄市","苓雅區","F","否","45-49","2"
"275","登革熱","2009","2","新北市","新莊區","M","是","40-44","1"
"276","登革熱","2009","3","高雄市","左營區","M","是","30-34","1"
"277","登革熱","2009","7","新北市","新莊區","M","是","45-49","1"
"278","登革熱","2009","7","彰化縣","社頭鄉","F","否","65-69","1"
"279","登革熱","2009","8","桃園市","平鎮區","F","是","30-34","1"
"280","登革熱","2009","8","高雄市","小港區","M","否","45-49","1"
"281","登革熱","2009","8","高雄市","前鎮區","M","否","30-34","1"
"282","登革熱","2009","9","桃園市","桃園區","M","是","20-24","1"
"283","登革熱","2009","9","高雄市","鳳山區","M","否","40-44","1"
"284","登革熱","2009","9","新北市","永和區","F","是","30-34","1"
"285","登革熱","2010","1","高雄市","苓雅區","M","否","5-9","1"
"286","登革熱","2010","1","高雄市","鳳山區","M","否","10-14","1"
"287","登革熱","2010","10","台南市","仁德區","F","是","20-24","1"
"288","登革熱","2010","10","台南市","西港區","M","是","5-9","1"
"289","登革熱","2010","10","台南市","南區","M","否","65-69","3"
"290","登革熱","2010","10","高雄市","三民區","F","否","70+","7"
"291","登革熱","2010","10","高雄市","阿蓮區","M","否","50-54","1"
"292","登革熱","2010","10","高雄市","苓雅區","M","否","35-39","1"
"293","登革熱","2010","10","高雄市","新興區","F","否","35-39","1"
"294","登革熱","2010","10","高雄市","鳳山區","M","否","50-54","1"
"295","登革熱","2010","11","台北市","文山區","M","是","30-34","1"
"296","登革熱","2010","11","台南市","中西區","M","否","60-64","2"
"297","登革熱","2010","11","台南市","北區","M","否","70+","1"
"298","登革熱","2003","10","高雄市","大社區","F","否","45-49","1"
"299","登革熱","2003","9","高雄市","楠梓區","M","否","40-44","1"
"300","登革熱","2004","10","屏東縣","屏東市","M","否","65-69","6"
"301","登革熱","2004","10","高雄市","三民區","M","否","50-54","1"
"302","登革熱","2004","11","屏東縣","屏東市","F","否","30-34","3"
"303","登革熱","2004","11","高雄市","岡山區","F","否","50-54","1"
"304","登革熱","2004","11","高雄市","楠梓區","M","否","15-19","1"
"305","登革熱","2004","12","嘉義縣","東石鄉","M","是","30-34","1"
"306","登革熱","2004","8","新北市","淡水區","F","是","15-19","1"
"307","登革熱","2005","10","高雄市","前鎮區","M","否","60-64","1"
"308","登革熱","2005","11","台北市","大同區","F","是","30-34","1"
"309","登革熱","2005","11","台南市","南區","M","否","3","1"
"310","登革熱","2005","11","高雄市","三民區","M","否","60-64","1"
"311","登革熱","2005","11","高雄市","鳥松區","F","否","15-19","1"
"312","登革熱","2005","11","高雄市","鳥松區","F","否","65-69","1"
"313","登革熱","2005","9","高雄市","旗津區","F","否","10-14","1"
"314","登革熱","2006","10","新北市","中和區","M","是","30-34","1"
"315","登革熱","2006","11","高雄市","小港區","M","否","70+","1"
"316","登革熱","2006","12","高雄市","三民區","F","否","50-54","2"
"317","登革熱","2006","12","高雄市","小港區","F","否","50-54","1"
"318","登革熱","2006","12","高雄市","苓雅區","M","否","20-24","1"
"319","登革熱","2006","6","台中市","大雅區","F","是","25-29","1"
"320","登革熱","2006","7","高雄市","前鎮區","F","否","35-39","1"
"321","登革熱","2006","7","高雄市","鳳山區","F","否","20-24","1"
"322","登革熱","2006","8","高雄市","小港區","M","否","15-19","1"
"323","登革熱","2006","8","高雄市","小港區","M","否","20-24","1"
"324","登革熱","2006","9","桃園市","觀音區","M","是","20-24","1"
"325","登革熱","2006","9","高雄市","苓雅區","F","否","40-44","1"
"326","登革熱","2006","9","高雄市","鳳山區","M","否","35-39","2"
"327","登革熱","2007","10","台北市","內湖區","F","是","55-59","1"
"328","登革熱","2007","10","台南市","北區","F","否","35-39","8"
"329","登革熱","2007","10","台南市","北區","F","否","70+","6"
"330","登革熱","2007","10","台南市","北區","M","否","55-59","10"
"331","登革熱","2007","10","台南市","安平區","F","否","40-44","1"
"332","登革熱","2007","10","台南市","東區","F","否","50-54","4"
"333","登革熱","2007","10","台南市","東區","M","否","5-9","1"
"334","登革熱","2007","10","台南市","南區","F","否","30-34","1"
"335","登革熱","2007","11","台南市","中西區","F","否","5-9","1"
"336","登革熱","2007","11","台南市","北區","F","否","5-9","2"
"337","登革熱","2007","11","台南市","安平區","M","否","15-19","1"
"338","登革熱","2007","11","台南市","安南區","M","否","25-29","3"
"339","登革熱","2007","11","台南市","麻豆區","F","否","30-34","1"
"340","登革熱","2007","11","高雄市","前鎮區","M","否","10-14","1"
"341","登革熱","2007","11","高雄市","鳳山區","M","否","40-44","2"
"342","登革熱","2007","12","台南市","安南區","F","否","15-19","1"
"343","登革熱","2007","12","台南市","安南區","M","否","55-59","1"
"344","登革熱","2007","12","台南市","東區","F","否","55-59","1"
"345","登革熱","2007","12","基隆市","暖暖區","M","是","35-39","1"
"346","登革熱","2007","7","台南市","東區","F","否","5-9","1"
"347","登革熱","2007","7","高雄市","三民區","F","否","25-29","1"
"348","登革熱","2007","8","苗栗縣","苑裡鎮","M","是","5-9","1"
"349","登革熱","2007","8","桃園市","楊梅區","M","是","40-44","1"
"350","登革熱","2007","8","新竹縣","湖口鄉","F","是","20-24","1"
"351","登革熱","2008","1","台北市","北投區","F","是","5-9","1"
"352","登革熱","2008","1","台南市","永康區","F","否","30-34","1"
"353","登革熱","2008","10","高雄市","大社區","F","否","40-44","1"
"354","登革熱","2008","11","高雄市","三民區","F","否","15-19","1"
"355","登革熱","2008","11","高雄市","鳳山區","M","否","40-44","2"
"356","登革熱","2008","12","新北市","樹林區","M","是","50-54","1"
"357","登革熱","2008","2","花蓮縣","新城鄉","F","是","25-29","1"
"358","登革熱","2008","4","雲林縣","東勢鄉","M","是","70+","1"
"359","登革熱","2008","6","新北市","蘆洲區","M","是","25-29","1"
"360","登革熱","2008","8","台南市","新化區","F","是","40-44","1"
"361","登革熱","2008","8","桃園市","龍潭區","M","是","5-9","1"
"362","登革熱","2008","8","高雄市","楠梓區","M","否","20-24","1"
"363","登革熱","2008","8","高雄市","楠梓區","M","否","55-59","3"
"364","登革熱","2008","9","高雄市","鳳山區","M","否","55-59","2"
"365","登革熱","2009","10","高雄市","三民區","F","是","40-44","1"
"366","登革熱","2009","10","高雄市","左營區","F","否","40-44","2"
"367","登革熱","2009","11","高雄市","大寮區","M","否","10-14","1"
"368","登革熱","2009","11","高雄市","苓雅區","F","否","45-49","1"
"369","登革熱","2009","11","高雄市","鳳山區","F","否","50-54","4"
"370","登革熱","2009","11","高雄市","鳳山區","M","否","35-39","2"
"371","登革熱","2009","12","高雄市","前鎮區","F","否","60-64","3"
"372","登革熱","2009","12","高雄市","前鎮區","M","否","30-34","3"
"373","登革熱","2009","4","新北市","永和區","F","是","65-69","1"
"374","登革熱","2009","5","高雄市","燕巢區","M","是","30-34","1"
"375","登革熱","2009","6","台中市","南屯區","M","是","45-49","1"
"376","登革熱","2009","6","台南市","東區","M","是","25-29","1"
"377","登革熱","2009","7","苗栗縣","卓蘭鎮","M","是","55-59","1"
"378","登革熱","2010","1","高雄市","楠梓區","M","是","35-39","1"
"379","登革熱","2010","10","高雄市","苓雅區","F","否","10-14","1"
"380","登革熱","2010","10","高雄市","新興區","F","否","60-64","2"
"381","登革熱","2010","11","台南市","北區","F","否","45-49","1"
"382","登革熱","2010","11","台南市","安平區","F","否","25-29","1"
"383","登革熱","2010","11","高雄市","前鎮區","M","否","60-64","4"
"384","登革熱","2010","11","高雄市","苓雅區","M","否","40-44","1"
"385","登革熱","2010","11","高雄市","苓雅區","M","否","65-69","2"
"386","登革熱","2010","11","高雄市","新興區","F","否","20-24","1"
"387","登革熱","2010","11","高雄市","鼓山區","M","否","15-19","1"
"388","登革熱","2010","12","台南市","中西區","M","否","65-69","1"
"389","登革熱","2010","12","台南市","中西區","M","否","70+","1"
"390","登革熱","2010","12","台南市","北區","M","否","70+","1"
"391","登革熱","2010","3","嘉義縣","太保市","F","是","20-24","1"
"392","登革熱","2010","8","南投縣","南投市","M","是","50-54","1"
"393","登革熱","2010","8","高雄市","鼓山區","M","否","15-19","2"
"394","登革熱","2010","8","高雄市","鼓山區","M","是","65-69","1"
"395","登革熱","2010","8","新北市","五股區","F","是","15-19","2"
"396","登革熱","2010","9","台北市","松山區","F","是","20-24","1"
"397","登革熱","2003","10","高雄市","楠梓區","M","否","45-49","1"
"398","登革熱","2003","12","新北市","三重區","F","是","40-44","1"
"399","登革熱","2003","7","台南市","中西區","M","是","50-54","1"
"400","登革熱","2004","11","屏東縣","屏東市","F","否","60-64","4"
"401","登革熱","2004","11","高雄市","苓雅區","M","是","15-19","1"
"402","登革熱","2004","2","基隆市","信義區","F","是","20-24","1"
"403","登革熱","2004","4","高雄市","三民區","M","是","35-39","1"
"404","登革熱","2004","8","高雄市","鳳山區","F","是","15-19","1"
"405","登革熱","2004","9","屏東縣","屏東市","F","否","35-39","1"
"406","登革熱","2004","9","屏東縣","屏東市","F","否","50-54","2"
"407","登革熱","2004","9","屏東縣","屏東市","F","否","65-69","1"
"408","登革熱","2004","9","屏東縣","屏東市","M","否","40-44","2"
"409","登革熱","2004","9","新北市","中和區","M","是","70+","1"
"410","登革熱","2005","10","屏東縣","里港鄉","M","是","40-44","1"
"411","登革熱","2005","12","台北市","信義區","F","是","25-29","1"
"412","登革熱","2005","5","桃園市","大園區","M","是","35-39","1"
"413","登革熱","2006","10","高雄市","林園區","M","否","45-49","1"
"414","登革熱","2006","10","高雄市","前鎮區","F","否","50-54","4"
